강남구,개포2동 660-21,언주로6길 21
강남구,개포2동 167-4,선릉로 30
강남구,개포2동 169-3,선릉로12길 12
강남구,개포2동 172-5,선릉로18길 12
강남구,개포2동 161-4,선릉로8길 27
강남구,개포2동 157-5,
강남구,개포4동 1262-5,개포로35길 11
강남구,개포4동 1262-2,개포로31길 16
강남구,개포4동 1262,개포로31길 20
강남구,개포4동 1265-5,개포로31길 29
강남구,개포4동 1267,개포로31길 48
강남구,개포4동 1252,개포로25길 27
강남구,개포4동 1252-4,개포로25길 27
강남구,개포4동 1255,개포로21길20
강남구,개포4동 1256,개포로21길14
강남구,개포4동 1256-2,개포로25길 13-5
강남구,개포4동 1263-8,개포로31길 15-6
강남구,개포4동 1260-2,개포로31길 9-9
강남구,개포4동 1257-2,개포로25길 9-7
강남구,개포4동 1246-4,개포로 215
강남구,개포4동 1239-14,개포로15길 3-13
강남구,개포4동 1240-3,
강남구,개포4동 1250-5,개포로17길 22
강남구,개포4동 1238,개포로 202
강남구,개포4동 1239-10,개포로15길 17
강남구,개포4동 1242-4,
강남구,개포4동 1250-7,개포로17길 16
강남구,개포4동 1211-3,
강남구,개포4동 1211-8,개포로38길 18
강남구,개포4동 1209-9,
강남구,개포4동 1208-6,개포로38길36
강남구,개포4동 1207-5,개포로38길 42
강남구,개포4동 1208-8,개포로30길 23
강남구,개포4동 1217-6,개포로 240
강남구,개포4동 1215-4,개포로26길 15
강남구,개포4동 1206-8,개포로26길 19
강남구,개포4동 1204,개포로24길 33
강남구,개포4동 1203-2,개포로22길 39-6
강남구,개포4동 1219-6,개포로22길 42
강남구,개포4동 1202-1,개포로22길 41-4
강남구,개포4동 1201-5, 개포로22길 49-11
강남구,개포4동 1202-9, 개포로22길 45-17
강남구,개포4동 1201-9, 개포로22길 49
강남구,개포4동 1203-1, 개포로22길 39-4
강남구,개포4동 1203-6,개포로28길 32
강남구,개포4동 1190, 논현로8길 8
강남구,개포4동 1220, 개포로20길 48
강남구,개포4동 1231-17, 개포로20길 17
강남구,개포4동 1233-10,논현로18길 22-22
강남구,개포4동 1233-12, 개포로20길 24-8
강남구,개포4동 1234, 논현로18길 18
강남구,개포4동 1229-3, 논현로 84
강남구,개포4동 1229-15, 논현로20길 4-34
강남구,개포4동 1235-15,논현로18길 10-15
강남구,개포4동 1230,논현로16길 11
강남구,개포4동 1223, 논현로14길 18
강남구,개포4동 1224-2, 논현로14길 10
강남구,개포4동 1195-6, 논현로12길 9
강남구,개포4동 1193-5, 논현로12길 14
강남구,개포4동 1190-11, 논현로8길 6
강남구,개포4동 1163, 논현로 16
강남구,개포4동 1169-8, 논현로2길 5
강남구,개포4동 1169-7, 논현로2길 9
강남구,개포4동 1171-6,논현로4길 15
강남구,개포4동 1189-10,논현로6길 13
강남구,개포4동 1185, 논현로6길 23
강남구,개포4동 1176-4, 논현로6길 36-9
강남구,개포4동 1176-3,
강남구,개포5동 1176-1,
강남구,개포4동 1177-8,
강남구,개포4동 1185-4, 논현로8길 40
강남구,개포4동 1185,논현로6길 23
강남구,개포4동 1167,논현로4길 28
강남구,개포4동 1164-20, 논현로2길 50
강남구,개포4동 1181-4, 논현로4길 61
강남구,개포4동 1182-29,
강남구,개포4동 1182-3, 논현로8길 66-7
강남구,개포4동 1182, 논현로8길 68
강남구,개포4동 1180-9, 논현로8길 60
강남구,개포4동 1165, 논현로4길 50
강남구,논현1동 36-1, 논현로135길 9
강남구,논현1동 34,논현로139길 7
강남구,논현1동 33-23,논현로 725
강남구,논현1동 32-13,도산대로26길 30
강남구,논현1동 31-9, 도산대로26길 34-16
강남구,논현1동 10-5, 논현로149길 35
강남구,논현1동 10-1,도산대로16길 13-3
강남구,논현1동 27, 논현로145길 41
강남구,논현1동 11-22,도산대로12길 27
강남구,논현1동 12-8, 논현로145길 62
강남구,논현1동 14-3,학동로11길 52
강남구,논현1동 4-25,
강남구,논현1동 21-2, 학동로3길 49
강남구,논현1동 26, 강남대로140길 47
강남구,논현1동 41-1, 강남대로136길 54
강남구,논현1동 43,학동로11길 23
강남구,논현1동 45,강남대로136길 34
강남구,논현1동 47-12,
강남구,논현1동 47-17, 강남대로132길 21
강남구,논현1동 43-5,
강남구,논현1동 41-16,
강남구,논현1동 42-5, 학동로17길 17
강남구,논현1동 57-4, 논현로131길 41
강남구,논현1동 39, 학동로19길 26
강남구,논현1동 28-14, 학동로19길 40
